iv_d22a6659	IV2507-060	STR059-PDH		2025-07-18	1100000	paid						05802025	บ้านเกาะโสภี ม.7 ต.หนองนางนวล อ.หนองฉาง จ.อุทัยธานี (6801-01)	00817	องค์การบริหารส่วนตำบลหนองนางนวล	2025-07-18	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-09-22	22.09.2025 เงินเข้าแล้ว / คุณเอก 056-510988	AR2507-056	100	6801-01
iv_7767374d	IV2507-059	STR058-PDH		2025-07-18	1100000	paid						05702025	บ้านทุ่งมะขามเตี้ย ม.6 ต.หนองนางนวล อ.หนองฉาง จ.อุทัยธานี (6801-01)	00817	องค์การบริหารส่วนตำบลหนองนางนวล	2025-07-18	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-09-22	22.09.2025 เงินเข้าแล้ว / คุณเอก 056-510988	AR2507-057	100	6801-01
iv_f2af5509	IV2507-058	STR057-PDH		2025-07-18	1100000	paid						05602025	บ้านหนองรืน ม.5 ต.หนองนางนวล อ.หนองฉาง จ.อุทัยธานี (6801-01)	00817	องค์การบริหารส่วนตำบลหนองนางนวล	2025-07-18	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-09-22	22.09.2025 เงินเข้าแล้ว / คุณเอก 056-510988	AR2507-058	100	6801-01
iv_ec69343a	IV2507-057	STR054-PDH		2025-07-18	1100000	paid						05302025	บ้านหนองกระทุ่ม ม.2 ต.หนองนางนวล อ.หนองฉาง จ.อุทัยธานี (6801-01)	00817	องค์การบริหารส่วนตำบลหนองนางนวล	2025-07-18	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-09-22	22.09.2025 เงินเข้าแล้ว / คุณเอก 056-510988	AR2507-059	100	6801-01
iv_745c166e	IV2507-056	STR053-PDH		2025-07-18	1100000	paid						05202025	บ้านหนองขุนทอง ม.1 ต.หนองนางนวล อ.หนองฉาง จ.อุทัยธานี (6801-01)	00817	องค์การบริหารส่วนตำบลหนองนางนวล	2025-07-18	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-09-22	22.09.2025 เงินเข้าแล้ว / คุณเอก 056-510988	AR2507-060	100	6801-01
iv_4e5d4773	IV2507-055	INS042-PDH		2025-07-22	1251118.63	paid						07002025	บ้านน้ำม้าเหนือ ม.13 ต.สถาน อ.เชียงของ จ.เชียงราย (6707-03)	00874	เทศบาลตำบลสถาน	2025-07-22	KTB	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-09-03	03.09.2025 เงินเข้าแล้ว / คุณแตน 097-9182756	AR2507-062	100	6707-03
iv_beb53d61	IV2507-054	INS041-PDH		2025-07-22	1251118.63	paid						06902025	บ้านน้ำม้า ม.3 ต.สถาน อ.เชียงของ จ.เชียงราย (6707-03)	00874	เทศบาลตำบลสถาน	2025-07-22	KTB	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-09-03	03.09.2025 เงินเข้าแล้ว / คุณแตน 097-9182756	AR2507-063	100	6707-03
iv_dd9ca1c3	IV2507-053	ENC061-PL		2025-07-18	5382196.22	paid						29802024	บ้านโนนอุดมพัฒนา ม.10 ต.หนองบัวใต้ อ.ศรีบุญเรือง จ.หนองบัวลำภู (6707-03)	00079	องค์การบริหารส่วนตำบลหนองบัวใต้	2025-07-18	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-28	28.08.2025 เงินเข้าแล้ว / คุณเอื้อมตะวัน 042-002252 ต่อ 2	AR2507-061	100	6707-03
iv_15e1482e	IV2507-052	TTI048-PDH		2025-07-15	1100000	paid						02502025	หนองดุม ม.16 ต.นนทรี อ.กบินทร์บุรี จ.ปราจีนบุรี (6801-01)	00827	องค์การบริหารส่วนตำบลนนทรี	2025-07-15	WTP	ภาคตะวันออก	5.โครงการที่รับเงินแล้วสะสม	2025-08-27	27.08.2025 เงินเข้าแล้ว / พัสดุ 094-8198789	AR2507-053	100	6801-01
iv_1eec497b	IV2507-043	INS029-PL		2025-07-15	3240000	paid						2702025	บ้านเขาสะท้อนบน ม.10 ต.หนองไม้แก่น อ.แปลงยาว จ.ฉะเชิงเทรา (6801-01)	00855	องค์การบริหารส่วนตำบลหนองไม้แก่น	2025-06-26	STS	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-09-01	01.09.2025 เงินเข้าแล้ว / คุณเบนซ์ 098-7695318	AR2507-044	2	6801-01
iv_af46d731	IV2507-040	STR039-PM		2025-07-14	2040000	paid						22902024	บ้านหนองอาสา ม.2 ต.เมืองการุ้ง อ.บ้านไร่ จ.อุทัยธานี (6801-01)	00812	องค์การบริหารส่วนตำบลเมืองการุ้ง	2025-07-14	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-10-01	01.10.2025 เงินเข้าแล้ว  / พัสดุ 06-5264-4496	AR2507-037	2	6801-01
iv_e66db84c	IV2507-039	STR040-PM		2025-07-14	2040000	paid						22802024	บ้านคลองโป่ง ม.5 ต.เมืองการุ้ง อ.บ้านไร่ จ.อุทัยธานี (6801-01)	00812	องค์การบริหารส่วนตำบลเมืองการุ้ง	2025-07-14	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-10-01	01.10.2025 เงินเข้าแล้ว  / พัสดุ 06-5264-4496	AR2507-038	2	6801-01
iv_706e0119	IV2507-038	INS043-PSL		2025-07-07	1800000	paid						7602025	ม.10 ต.วังเย็น อ.แปลงยาว จ.ฉะเชิงเทรา (6801-01)	00873	เทศบาลตำบลวังเย็น	2025-07-07	STS	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-07-31	31.07.2025 เงินเข้าแล้ว / คุณมยุรี 086-5700254	AR2507-036	1	6801-01
iv_7e5ef484	IV2507-037	ENC110-PDH		2025-07-14	1100000	paid						6602025	บ้านชมน้อย ม.2 ต.ชมเจริญ อ.ปากชม จ.เลย (6801-01)	00761	องค์การบริหารส่วนตำบลชมเจริญ	2025-07-14	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-10-14	14.10.2025 เงินเข้าแล้ว / คุณมณีวรรณ 084-7428010 / WTP	AR2507-039	100	6801-01
iv_336c13fe	IV2507-036	ENC111-PDH		2025-07-14	1100000	paid						6702025	บ้านห้วยอาลัย ม.3 ต.ชมเจริญ อ.ปากชม จ.เลย (6801-01)	00761	องค์การบริหารส่วนตำบลชมเจริญ	2025-07-14	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-10-14	14.10.2025 เงินเข้าแล้ว / คุณมณีวรรณ 084-7428010 / WTP	AR2507-040	100	6801-01
iv_32d80af5	IV2507-034	INS044-PL		2025-07-09	2160000	paid						7802025	โรงเรียนเทศบาลพญาเม็งราย ๑ (ทุ่งเจ้า) ต.แม่เปา อ.พญาเม็งราย จ.เชียงราย (6801-01)	00629	เทศบาลตำบลพญาเม็งราย	2025-07-09	STS	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-18	18.08.2025 เงินเข้าแล้ว / คุณอุตสนี 084-6085532	AR2507-034	1	6801-01
iv_e2a60f18	IV2507-033	INS045-PSM		2025-07-09	1200000	paid						8502025	บ้านหนองสองห้อง ม.2 ต.เม็งราย อ.พญาเม็งราย จ.เชียงราย (6801-01)	00629	เทศบาลตำบลพญาเม็งราย	2025-07-09	STS	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-19	20.08.2025 เงินเข้าแล้ว / คุณอุตสนี 084-6085532	AR2507-033	1	6801-01
iv_0968c6d6	IV2507-032	PP046-PL		2025-07-09	3120000	paid						3602025	ม.4 ต.ท่างิ้ว อ.ห้วยยอด จ.ตรัง (6801-01)	00484	เทศบาลตำบลท่างิ้ว	2025-07-09	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2025-08-04	04.08.2025 เงินเข้าแล้ว	AR2507-032	2	6801-01
iv_7392373f	IV2507-031	INS024-PL		2025-07-08	3780000	paid						32502024	บ้านสุมข้าม ม.4 ต.นาขุม อ.บ้านโคก จ.อุตรดิตถ์ (6801-01)	00718	องค์การบริหารส่วนตำบลนาขุม	2025-07-08	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-14	14.08.2025 เงินเข้าแล้ว / คุณน้ำฝน 087-8518426	AR2507-031	2	6801-01
iv_5dcf3645	IV2507-030	ENC130-PDH		2025-07-07	1298500	paid						8902025	บ้านโนนดินแดง (ที่ทำการผู้ใหญ่บ้าน) ม.13 ต.โนนดินแดง อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-030	100	6801-01
iv_a758b066	IV2507-029	PP051-PM		2025-07-08	3400000	paid						4202025	บ้านโคกออก ม.6 ต.ตะเสะ อ.หาดสำราญ จ.ตรัง (6801-01)	00123	องค์การบริหารส่วนตำบลตะเสะ	2025-07-08	WTP	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2025-09-04	04.09.2025 เงินเข้าแล้ว  / คุณกุ้ง 075-291244	AR2507-027	100	6801-01
iv_e8f4820e	IV2507-028	INS035-PD		2025-07-04	1100000	paid						4802025	บ้านเมืองกาญจน์ ม.2 ต.ริมโขง อ.เชียงของ จ.เชียงราย (6801-01)	00871	องค์การบริหารส่วนตำบลริมโขง	2025-07-04	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-14	14.08.2025 เงินเข้าแล้ว	AR2507-018	100	6801-01
iv_cf277e27	IV2507-027	INS034-PD		2025-07-04	1100000	paid						4702025	บ้านหาดบ้าย ม.1 ต.ริมโขง อ.เชียงของ จ.เชียงราย (6801-01)	00871	องค์การบริหารส่วนตำบลริมโขง	2025-07-04	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-14	14.08.2025 เงินเข้าแล้ว	AR2507-019	100	6801-01
iv_b9e734dc	IV2507-026	ENC112-PDH		2025-07-07	1100000	paid						7102025	บ้านโนนแสนสุข ม.2 ต.สระว่านพระยา อ.ครบุรี จ.นครราชสีมา  (6801-01)	00875	องค์การบริหารส่วนตำบลสระว่านพระยา	2025-07-07	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-09-04	04.09.2025 เงินเข้าแล้ว  / 044-001123	AR2507-011	100	6801-01
iv_741467ff	IV2507-025	ENC108-PDH		2025-07-07	1100000	paid						6402025	บ้านบุพรมราช ม.6 ต.สุขเกษม อ.ปักธงชัย จ.นครราชสีมา (6801-01)	00872	องค์การบริหารส่วนตำบลสุขเกษม	2025-07-07	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-05	05.08.2025 เงินเข้าแล้ว / คุณต้อล 084-323-3823	AR2507-012	100	6801-01
iv_53b524a3	IV2507-024	ENC107-PDH		2025-07-09	1100000	paid						6302025	บ้านหนองชุมแสง ม.3 ต.สุขเกษม อ.ปักธงชัย จ.นครราชสีมา (6801-01)	00872	องค์การบริหารส่วนตำบลสุขเกษม	2025-07-09	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-05	05.08.2025 เงินเข้าแล้ว / คุณต้อล 084-323-3823	AR2507-028	100	6801-01
iv_240dd82e	IV2507-023	ENC129-PDH		2025-07-07	1298500	paid						9002025	บ้านโนนดินแดง (ศาลาประชาคม) ม.9 ต.โนนดินแดง อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-013	100	6801-01
iv_adf1aabd	IV2507-022	ENC128-PDH		2025-07-07	1298500	paid						9102025	บ้านโนนดินแดง (วัดโนนดินแดงใต้) ม.8 ต.โนนดินแดง อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-014	100	6801-01
iv_6b5f339d	IV2507-021	ENC127-PDH		2025-07-07	1298500	paid						9202025	บ้านโนนดินแดง (ที่ทำการกองทุนหมู่บ้าน) ม.7 ต.โนนดินแดง อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-015	100	6801-01
iv_1eb3050f	IV2507-020	ENC126-PDH		2025-07-07	1298500	paid						9302025	บ้านโนนดินแดง (ศาลาประชาคม) ม.6 ต.โนนดินแดง อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-016	100	6801-01
iv_5d251883	IV2507-019	ENC125-PDH		2025-07-09	1298500	paid						9702025	บ้านโนนดินแดง (สำนักงานเทศบาลตำบลโนนดินแดง) ม.5 ต.โนนดินแดง อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-09	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-029	100	6801-01
iv_bf1c4dd4	IV2507-018	ENC124-PDH		2025-07-07	1298500	paid						9402025	บ้านโนนดินแดง (ศาลาประชาคม) ม.4 ต.โนนดินแดง อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-017	100	6801-01
iv_4ea762e3	IV2507-017	ENC123-PDH		2025-07-07	1298500	paid						9502025	บ้านโนนดินแดง (ศาลาประชาคม) ม.3 ต.โนนดินแดง อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-024	100	6801-01
iv_f769be02	IV2507-016	ENC122-PDH		2025-07-07	1298500	paid						9602025	บ้านโนนดินแดง (วัดโนนดินแดงเหนือ) ม.1 ต.โนนดินแดง อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-023	100	6801-01
iv_ff2b8171	IV2507-015	ENC121-PDH		2025-07-07	1298500	paid						8702025	บ้านหนองสะแกกวน (ศาลาประชาคม) ม.6 ต.ส้มป่อย อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-022	100	6801-01
iv_b8242482	IV2507-014	ENC120-PDH		2025-07-07	1298500	paid						8802025	บ้านน้อยสะแกกวน (พื้นที่สาธารณะ) ม.3 ต.ส้มป่อย อ.โนนดินแดง จ.บุรีรัมย์ (6801-01)	00880	เทศบาลตำบลโนนดินแดง	2025-07-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-25	25.08.2025 เงินเข้าแล้ว / คุณศศิการณ์ 062-1124014	AR2507-021	100	6801-01
iv_14b42fa1	IV2507-013	INS038-PD		2025-07-04	1100000	paid						5102025	บ้านหาดทรายทอง ม.8 ต.ริมโขง อ.เชียงของ จ.เชียงราย (6801-01)	00871	องค์การบริหารส่วนตำบลริมโขง	2025-07-04	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-14	14.08.2025 เงินเข้าแล้ว	AR2507-020	100	6801-01
iv_ad8faea4	IV2507-012	INS037-PD		2025-07-04	1100000	paid						5002025	บ้านใหม่เจริญ ม.4 ต.ริมโขง อ.เชียงของ จ.เชียงราย (6801-01)	00871	องค์การบริหารส่วนตำบลริมโขง	2025-07-04	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-14	14.08.2025 เงินเข้าแล้ว	AR2507-025	100	6801-01
iv_48cfee44	IV2507-011	INS036-PD		2025-07-04	1100000	paid						4902025	บ้านดอนที่ ม.3 ต.ริมโขง อ.เชียงของ จ.เชียงราย (6801-01)	00871	องค์การบริหารส่วนตำบลริมโขง	2025-07-04	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-14	14.08.2025 เงินเข้าแล้ว	AR2507-026	100	6801-01
iv_4cbaa3a0	IV2507-009	ENC117-PDH		2025-07-04	1100000	paid						8302025	บ้านนาผักก้าม ม.4 ต.เหล่ากอหก อ.นาแห้ว จ.เลย (6801-01)	00382	องค์การบริหารส่วนตำบลเหล่ากอหก	2025-07-04	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-09-17	18.09.2025 เงินเข้าแล้ว / คุณนัด 0-4203-1298 / คุณเหมี่ยว 065-6946669	AR2507-004	100	6801-01
iv_bbacaa1d	IV2507-008	ENC116-PDH		2025-07-04	1100000	paid						8202025	บ้านเหล่ากอหก ม.1 ต.เหล่ากอหก อ.นาแห้ว จ.เลย (6801-01)	00382	องค์การบริหารส่วนตำบลเหล่ากอหก	2025-07-04	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-09-17	18.09.2025 เงินเข้าแล้ว / คุณนัด 0-4203-1298 / คุณเหมี่ยว 065-6946669	AR2507-005	100	6801-01
iv_85951a12	IV2507-007	TTI039-PL		2025-07-04	3240000	paid						29502024	บ้านทุ่งวิจิตร ม.10 ต.สะพานหิน อ.นาดี จ.ปราจีนบุรี (6801-01)	00124	องค์การบริหารส่วนตำบลสะพานหิน	2025-07-04	WTP	ภาคตะวันออก	5.โครงการที่รับเงินแล้วสะสม	2025-08-21	21.08.2025 เงินเข้าแล้ว / คุณวรรณ 095-6645136	AR2507-006	2	6801-01
iv_a3c3bda5	IV2507-006	ENC113-PDH		2025-07-04	1100000	paid						7202025	บ้านชลประทาน ม.15 ต.โคกหินแฮ่ อ.เรณูนคร จ.นครพนม (6801-01)	00384	องค์การบริหารส่วนตำบลโคกหินแฮ่	2025-07-04	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-19	20.08.2025 เงินเข้าแล้ว / คุณอร 099-4951696	AR2507-007	100	6801-01
iv_559f9312	IV2507-005	ENC118-PDH		2025-07-04	1100000	paid						8402025	บ้านนาเจริญ ม.5 ต.เหล่ากอหก อ.นาแห้ว จ.เลย (6801-01)	00382	องค์การบริหารส่วนตำบลเหล่ากอหก	2025-07-04	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-09-17	18.09.2025 เงินเข้าแล้ว / คุณนัด 0-4203-1298 / คุณเหมี่ยว 065-6946669	AR2507-008	100	6801-01
iv_b7147d33	IV2507-003	ENC109-PSL		2025-07-01	2700000	paid						6202025	บ้านคอกควาย ม.6 ต.เมืองพลับพลา อ.ห้วยแถลง จ.นครราชสีมา (6801-01)	00788	องค์การบริหารส่วนตำบลเมืองพลับพลา	2025-07-01	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-08	08.08.2025 เงินเข้าแล้ว / คุณเอ๋ 088-5816238	AR2507-003	2	6801-01
iv_81f2184e	IV2506-043	TTI037-PL		2025-06-24	3240000	paid						28302024	ตลาดกลางสินค้าเกษตรสระแก้ว ม.1 ต.ศาลาลำดวน อ.เมืองสระแก้ว จ.สระแก้ว (6801-01)	00830	เทศบาลตำบลศาลาลำดวน	2025-06-24	STS	ภาคตะวันออก	5.โครงการที่รับเงินแล้วสะสม	2025-07-08	08.07.2025 เงินเข้าแล้ว / คุณแจ้ 086-5597563	AR2506-043	2	6801-01
iv_85114d65	IV2506-042	STR051-PM		2025-06-26	3400000	paid						28802024	บ้านย่านยาว ม.8 ต.ย่านยาว อ.สามชุก จ.สุพรรณบุรี (6801-01)	00742	องค์การบริหารส่วนตำบลย่านยาว	2025-06-26	LIT	STR	5.โครงการที่รับเงินแล้วสะสม	2025-07-21	21.07.2025 เงินเข้าแล้ว / คุณรัตนา 063-5146514	AR2506-045	2	6801-01
iv_5f6720c7	IV2506-041	STR048-PL		2025-06-27	5400000	paid						27602024	บ้านหนองบ้านเก่า ม.7 ต.บ้านเก่า อ.เมืองกาญจนบุรี จ.กาญจนบุรี (จุดที่ 2) (6801-01)	00735	องค์การบริหารส่วนตำบลบ้านเก่า	2025-06-27	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-08-04	04.08.2025 เงินเข้าแล้ว / คุณหนึ่ง 083-366-1654	AR2506-046	100	6801-01
iv_e5759776	IV2506-037	TTI030-PDH		2025-06-20	1300000	paid						24402024	บ้านคำใหญ่ ม.4 ต.ภูดิน อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ (จุดที่2) (6801-01)	00159	เทศบาลตำบลภูดิน	2025-06-20	KTB	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-08-21	21.08.2025 เงินเข้าแล้ว	AR2506-041	100	6801-01
iv_ee7141f0	IV2506-036	ENC106-PSL		2025-06-23	4500000	paid						4602025	บ้านพนอม ม.3 ต.พนอม อ.ท่าอุเทน จ.นครพนม (6801-01)	00870	องค์การบริหารส่วนตำบลพนอม	2025-06-23	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-08-04	04.08.2025 เงินเข้าแล้ว / คุณสุทธิดา 062-2649392	AR2506-030	100	6801-01
iv_63dc42fa	IV2506-035	TTI038-PL		2025-06-18	3240000	paid						28202024	โรงเรียนบ้านศาลาลำดวน ม.2 ต.ศาลาลำดวน อ.เมืองสระแก้ว จ.สระแก้ว (6801-01)	00830	เทศบาลตำบลศาลาลำดวน	2025-06-18	STS	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-07-11	11.07.2025 เงินเข้าแล้ว	AR2506-037	2	6801-01
iv_5253f1fd	IV2506-034	INS032-PDH		2025-06-19	1252000	paid						4402025	บ้านแก่งหิน ม.2 ต.วังประจบ อ.เมืองตาก จ.ตาก (6707-03)	00094	องค์การบริการส่วนตำบลวังประจบ	2025-06-19	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-04	04.08.2025 เงินเข้าแล้ว / คุณพัชรพร 062-8824111	AR2506-035	100	6707-03
iv_b856642c	IV2506-033	INS033-PDH		2025-06-19	1252000	paid						4502025	บ้านลานสอ ม.4 ต.วังประจบ อ.เมืองตาก จ.ตาก (6707-03)	00094	องค์การบริการส่วนตำบลวังประจบ	2025-06-19	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-08-04	04.08.2025 เงินเข้าแล้ว / คุณพัชรพร 062-8824111	AR2506-036	100	6707-03
iv_d3a00d00	IV2506-032	AW114-PLS		2025-06-23	5400000	paid						21202024	บ้านแกเปะน้อย ม.10 ต.เชียงเครือ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ (6707-03)	00763	เทศบาลตำบลเชียงเครือ	2025-06-23	STS	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-10-02	02.10.2025 เงินเข้าแล้ว / คุณปภาดา 0964218621	AR2506-031	100	6707-03
iv_da3f3c15	IV2506-031	AW113-STIIS		2025-06-20	5150000	paid						20602024	บ้านเหล่าค้อ ม.4 ต.เชียงเครือ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ (6707-03)	00763	เทศบาลตำบลเชียงเครือ	2025-06-20	STS	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-10-02	02.10.2025 เงินเข้าแล้ว / คุณปภาดา 0964218621	AR2506-032	100	6707-03
iv_2497c92d	IV2506-030	AW097-STIIS		2025-06-20	3090000	paid						17702024	บ้านแกเปะ(หนองแฝก) ม.8 ต.เชียงเครือ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ (6707-03)	00763	เทศบาลตำบลเชียงเครือ	2025-06-20	WTP	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-09-30	30.09.2025 เงินเข้าแล้ว / คุณปภาดา 0964218621	AR2506-033	2	6707-03
iv_1a60488b	IV2506-029	ENC095-PL		2025-06-20	3240000	paid						402025	บ้านโนน ม.1 ต.โนน อ.โนนนารายณ์ จ.สุรินทร์ (6801-01)	00844	องค์การบริหารส่วนตำบลโนน	2025-06-20	LIT	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-08-04	04.08.2025 เงินเข้าแล้ว/ พัสดุ 080-0045313	AR2506-034	2	6801-01
iv_26ed565d	IV2506-028	AW097-STIIS		2025-06-04	2060000	paid						17702024	บ้านแกเปะ(หนองแฝก) ม.8 ต.เชียงเครือ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ (6707-03)	00763	เทศบาลตำบลเชียงเครือ	2025-06-04	WTP	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-09-30	30.09.2025 เงินเข้าแล้ว / คุณปภาดา 0964218621	AR2506-029	1	6707-03
iv_3061ed92	IV2506-024	ENC055-PL		2025-06-12	3240000	paid						28002024	บ้านห้างฉัตรใต้ ม.1 ต.ห้างฉัตร อ.ห้างฉัตร จ.ลำปาง (6801-01)	00829	เทศบาลตำบลห้างฉัตร	2025-06-12	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-27	27.06.2025 เงินเข้าแล้ว	AR2506-023	2	6801-01
iv_690af618	IV2506-023	ENC088-PL		2025-06-13	3240000	paid						33302024	บ้านสายทอง ม.12 ต.หลุ่งตะเคียน อ.ห้วยแถลง จ.นครราชสีมา (6801-01)	00839	องค์การบริหารส่วนตำบลหลุ่งตะเคียน	2025-06-13	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-07-31	31.07.2025 เงินเข้าแล้ว / คุณชุติมา 095-6211190	AR2506-024	2	6801-01
iv_9e338316	IV2506-022	AW136-PL		2025-06-09	3240000	paid						26602024	ม.16 ต.นนทรี อ.กบินทร์บุรี จ.ปราจีนบุรี (6707-03)	00827	องค์การบริหารส่วนตำบลนนทรี	2025-06-09	FUNDING	ภาคตะวันออก	5.โครงการที่รับเงินแล้วสะสม	2025-07-31	31.07.2025 เงินเข้าแล้ว / พัสดุ 094-8198789	AR2506-018	2	6707-03
iv_b20416a2	IV2506-021	AW136-PL		2025-06-09	2160000	paid						26602024	ม.16 ต.นนทรี อ.กบินทร์บุรี จ.ปราจีนบุรี (6707-03)	00827	องค์การบริหารส่วนตำบลนนทรี	2025-06-09	FUNDING	ภาคตะวันออก	5.โครงการที่รับเงินแล้วสะสม	2025-07-31	31.07.2025 เงินเข้าแล้ว / พัสดุ 094-8198789	AR2506-049	1	6707-03
iv_37e1c52e	IV2506-020	TTI050-PDH		2025-06-16	1300000	paid						4302025	ภายในหมู่บ้านสุขเกษม ม.9 ต.โนนเปือย อ.กุดชุม จ.ยโสธร (6708-01)	00864	องค์การบริหารส่วนตำบลโนนเปือย	2025-06-16	WTP	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-06-26	26.06.2025 เงินเข้าแล้ว	AR2506-025	3	6708-01
